Material compositions joined,NdUnfilled_min_value,MendeleevNumber_composition_average,MeltingT_difference,AtomicVolume_difference,MendeleevNumber_max_value,valence_max_value,BCCenergy_pa_max_value,HeatVaporization_max_value,HeatFusion_difference,ThermalExpansionCoefficient_difference,MiracleRadius_min_value,NdUnfilled_composition_average,ICSDVolume_min_value,HeatFusion_max_value
IrRu,0.2021,-0.0584,-1.0959,-0.9605,-0.6791,1.9858,-0.7035,0.8336,-0.897,-0.7904,0.0298,0.2703,-0.1867,1.0172
IrTc,0.2021,-0.1961,-0.8602,-1.0475,-0.6791,1.3491,-0.7035,0.8039,-0.473,-0.6758,0.1987,0.7792,-0.1867,1.0172
IrY,0.2021,-2.0777,-0.0197,1.7913,-0.6791,-1.1975,-0.7035,0.8039,1.2792,-0.4396,0.1987,1.7971,-0.1867,1.0172
IrZr,0.2021,-0.6091,-0.4579,0.3243,-0.6791,-0.5608,-0.7035,0.9946,0.5103,-0.7402,0.1987,1.5426,-0.1867,1.0172
MgMg,-0.8555,0.8594,-1.2718,-1.0479,0.1264,-1.8341,1.2862,-2.2845,-1.0995,-0.7904,2.2262,-1.2566,2.3482,-1.2761
MgAg,-0.8555,0.7217,-0.8563,-0.1228,0.1264,-1.8341,1.2862,-1.4129,-0.8738,-0.368,0.8746,-1.2566,0.6583,-1.078
MgAl,-0.8555,1.0889,-1.2578,-0.0504,0.6299,-1.1975,1.2862,-1.1284,-0.921,-0.6687,0.6211,-1.2566,0.5527,-1.1194
MgAu,-0.8555,0.7676,-0.7199,-0.1035,0.1264,-1.1975,1.2862,-0.8901,-0.7738,-0.0316,0.7901,-1.2566,0.6319,-0.9901
MgBe,-0.8555,0.8135,-0.4233,1.2283,0.1264,-1.8341,1.2862,-1.0845,-1.0527,0.176,-1.8288,-1.2566,-1.6917,-1.2761
MgBi,-0.8555,1.6855,-0.7675,0.7975,1.9389,0.0758,1.2862,-1.9203,-0.8894,0.0257,2.2262,-1.2566,2.3482,-1.0916
MgCa,-0.8555,-1.94,-1.016,1.9193,0.1264,-1.8341,1.2862,-2.0927,-1.0947,-0.6114,2.2262,-1.2566,2.3482,-1.2719
MgCd,-0.8555,0.9512,-0.8338,-0.8007,0.3278,-1.8341,1.2862,-2.2845,-0.9178,-0.3609,1.9728,-1.2566,1.8465,-1.2761
MgCe,2.3173,-1.5728,-1.0746,0.6923,0.1264,-0.5608,1.2862,-0.9654,-0.8578,0.6127,2.2262,1.0337,2.3482,-1.2761
MgCo,0.2021,0.4005,-0.1462,0.7922,0.1264,-1.1975,1.2862,-0.544,-0.4818,0.0543,-0.7305,-0.4932,-0.8996,-0.7337
MgCr,0.9072,-0.0125,0.4026,0.6271,0.1264,0.7125,1.2862,-0.7834,-0.0978,0.6341,-0.3082,0.0158,-0.6619,-0.3965
MgCu,-0.8555,0.6758,-0.6926,0.6667,0.1264,-1.8341,1.2862,-1.0597,-0.6898,-0.1962,-0.6461,-1.2566,-0.7148,-0.9164
MgFe,0.5546,0.2628,-0.0889,0.6746,0.1264,0.7125,1.2862,-0.7126,-0.673,0.1402,-0.7305,-0.2387,-0.7412,-0.9016
MgGa,-0.8555,1.1348,-0.4458,-0.5043,0.7306,-1.1975,1.2862,-1.3745,-0.8678,-0.4253,0.0298,-1.2566,1.3448,-1.2761
MgGd,2.3173,-1.0221,-0.3886,0.4312,0.1264,-1.1975,1.2862,-0.9803,-1.0042,1.1281,2.2262,1.0337,2.3482,-1.1925
MgHf,1.9648,-0.1961,0.8368,-0.9044,0.1264,-0.5608,1.2862,1.4945,0.3983,0.5626,2.0573,0.7792,2.0841,0.0391
MgHg,-0.8555,0.9971,-0.3544,-0.8388,0.4285,-1.8341,1.2862,-2.2845,-0.6046,0.9419,1.5504,-1.2566,2.3482,-1.2761
MgIn,-0.8555,1.1807,-0.6148,-0.6174,0.8313,-1.1975,1.2862,-1.585,-0.6843,-0.2678,1.8038,-1.2566,2.3482,-1.2761
MgIr,0.2021,0.4923,1.1472,0.3177,0.1264,-1.1975,1.2862,0.8039,1.512,0.5268,0.1987,-0.4932,-0.1867,1.0172
MgK,-0.8555,-2.1235,-0.4906,6.8724,0.1264,-1.8341,1.2862,-2.2845,-0.6078,3.3042,2.2262,-1.2566,2.3482,-1.2761
MgLa,2.3173,-1.6646,-0.9121,1.1056,0.1264,-1.1975,1.2862,-0.3579,-0.917,0.6127,2.2262,1.0337,2.3482,-1.2761
MgLi,-0.8555,-2.2153,-0.6466,-0.7953,0.1264,-1.8341,1.2862,-2.1463,-0.661,0.7272,1.5504,-1.2566,1.8729,-1.2761
MgMn,0.9072,0.1251,-0.4779,0.6091,0.1264,1.3491,1.2862,-1.6318,-0.745,-0.5684,-0.1392,0.0158,-0.6091,-0.9649
MgMo,0.9072,0.0334,1.3563,0.1142,0.1264,0.7125,1.2862,0.9939,1.2208,0.6413,0.4522,0.0158,0.2622,0.7614
MgNa,-0.8555,-2.1694,-0.5363,1.3927,0.1264,-1.8341,1.2862,-2.2845,-0.629,2.5168,2.2262,-1.2566,2.3482,-1.2761
MgNb,1.2597,-0.1043,1.1618,-0.2622,0.1264,0.0758,1.2862,1.7002,0.6223,0.4623,0.7901,0.2703,0.9487,0.2359
MgNd,-0.8555,-1.3893,-0.7776,0.5996,0.1264,-1.1975,1.2862,-1.1788,-0.9922,0.491,2.2262,-1.2566,2.3482,-1.2761
MgNi,-0.1505,0.5382,-0.1995,0.8004,0.1264,-1.1975,1.2862,-0.5142,-0.3794,0.0257,-0.6461,-0.7476,-0.9788,-0.6438
MgOs,0.5546,0.3546,1.9024,0.3425,0.1264,1.9858,1.2862,1.2574,2.8505,0.6198,0.1142,-0.2387,-0.1867,2.1926
MgPd,-0.8555,0.5841,-0.0662,0.235,0.1264,-0.5608,1.2862,-0.4023,-0.4386,0.1402,0.7056,-1.2566,0.051,-0.6958
MgPr,-0.8555,-1.4811,-0.8975,0.7607,0.1264,-1.1975,1.2862,-0.8321,-0.9722,0.5983,2.2262,-1.2566,2.3482,-1.2761
MgPt,-0.503,0.63,0.2179,0.1353,0.1264,-0.5608,1.2862,0.4276,-0.0037,0.355,0.4522,-1.0021,0.1566,-0.3139
MgRe,0.9072,0.2169,2.1062,0.2332,0.1264,1.3491,1.2862,1.8206,0.9487,0.5411,0.2832,0.0158,0.051,0.5225
MgRh,-0.1505,0.4464,0.4785,0.3814,0.1264,0.7125,1.2862,0.3209,0.3495,0.3979,-0.1392,-0.7476,-0.794,-0.0037
MgRu,0.2021,0.3087,0.9713,0.4051,0.1264,1.9858,1.2862,0.8336,1.3096,0.5268,0.0298,-0.4932,-0.1339,0.8394
MgSb,-0.8555,1.6396,-1.2462,0.001,1.8382,0.0758,1.2862,-2.2845,-0.1946,0.1975,1.8038,-1.2566,2.3482,-0.4815
MgSc,2.3173,-1.7564,-0.0849,-0.7789,0.1264,-1.1975,1.2862,-1.0292,-0.6498,0.2691,2.2262,1.0337,2.3482,-0.8812
MgSe,-0.8555,1.8231,-0.7003,-0.4479,2.2409,0.7125,1.2862,-2.2845,-0.9562,0.6556,-1.3219,-1.2566,2.3482,-1.2761
MgSi,-0.8555,1.3183,-0.2541,-0.5654,1.1333,-0.5608,1.2862,-0.6453,2.2393,0.7988,-1.9977,-1.2566,1.4504,1.6558
MgSn,-0.8555,1.4101,-0.7151,-0.4843,1.3347,-0.5608,1.2862,-1.1314,-0.993,-0.5899,1.8038,-1.2566,2.3482,-1.2761
MgSr,-0.8555,-1.8941,-1.1026,3.7834,0.1264,-1.8341,1.2862,-2.2186,-1.0154,-0.6257,2.2262,-1.2566,2.3482,-1.2761
MgTa,1.6122,-0.0584,1.8811,-0.269,0.1264,0.0758,1.2862,2.0324,1.148,0.5339,0.959,0.5247,0.8167,0.6975
MgTc,0.9072,0.171,0.7356,0.3174,0.1264,1.3491,1.2862,0.3677,0.8855,0.4122,0.1987,0.0158,-0.081,0.467
MgTh,1.9648,-1.527,0.1934,0.4035,0.1264,-0.5608,1.2862,0.6647,-0.673,0.1975,2.2262,0.7792,2.3482,-0.9016
MgTi,1.9648,-0.2879,0.0842,-0.2072,0.1264,-0.5608,1.2862,-0.1763,-0.6458,0.3693,0.7056,0.7792,0.8167,-0.8777
MgV,1.6122,-0.1502,0.4066,0.3634,0.1264,0.0758,1.2862,-0.024,-0.0578,0.3836,0.0298,0.5247,-0.1867,-0.3613
MgW,1.2597,0.0793,2.4205,0.0603,0.1264,0.7125,1.2862,-0.1949,2.4073,0.6628,0.1142,0.2703,0.3414,1.8033
MgY,2.3173,-1.7105,-0.1049,0.4257,0.1264,-1.1975,1.2862,-0.4023,-0.8666,0.176,2.2262,1.0337,2.3482,-1.0716
MgZn,-0.8555,0.9053,-0.965,0.1586,0.2271,-1.8341,1.2862,-2.2845,-0.9865,-0.4038,0.5366,-1.2566,0.1566,-1.2761
MgZr,1.9648,-0.242,0.3333,-1.0413,0.1264,-0.5608,1.2862,0.9946,-0.0978,0.5769,2.0573,0.7792,2.2954,-0.3965
MoMo,0.9072,-0.7927,-1.2718,-1.0479,-1.686,0.7125,-1.4797,0.9939,-1.0995,-0.7904,0.4522,1.2881,0.2622,0.7614
MoAg,-0.8555,-0.1043,0.9408,-0.8109,-0.1756,0.7125,-1.4797,0.9939,0.9952,0.219,0.4522,0.0158,0.2622,0.7614
MoBi,-0.8555,0.8594,1.8606,1.9595,1.9389,0.7125,-1.4797,0.9939,1.0107,-0.1747,0.4522,0.0158,0.2622,0.7614
MoCd,-0.8555,0.1251,1.7942,-0.133,0.3278,0.7125,-1.4797,0.9939,1.4024,1.0708,0.4522,0.0158,0.2622,0.7614
MoCo,0.2021,-0.4256,0.2307,-0.3699,-0.8805,0.7125,-1.4797,0.9939,0.6031,-0.2034,-0.7305,0.7792,-0.8996,0.7614
MoCr,0.9072,-0.8386,-0.3181,-0.535,-1.686,0.7125,-1.4797,0.9939,0.2191,-0.7832,-0.3082,1.2881,-0.6619,0.7614
MoCu,-0.8555,-0.1502,0.7772,-0.4954,-0.2763,0.7125,-1.4797,0.9939,0.8111,0.0472,-0.6461,0.0158,-0.7148,0.7614
MoFe,0.5546,-0.5632,0.1735,-0.4875,-1.1826,0.7125,-1.4797,0.9939,0.7943,-0.2893,-0.7305,1.0337,-0.7412,0.7614
MoGa,-0.8555,0.3087,2.1822,-0.4294,0.7306,0.7125,-1.4797,0.9939,1.4524,0.2762,0.0298,0.0158,0.2622,0.7614
MoIn,-0.8555,0.3546,2.0133,0.5447,0.8313,0.7125,-1.4797,0.9939,1.6359,1.1638,0.4522,0.0158,0.2622,0.7614
MoMg,-0.8555,0.0334,1.3563,0.1142,0.1264,0.7125,-1.4797,0.9939,1.2208,0.6413,0.4522,0.0158,0.2622,0.7614
MoMn,0.9072,-0.7009,0.5624,-0.553,-1.4846,1.3491,-1.4797,0.9939,0.8663,0.4194,-0.1392,1.2881,-0.6091,0.7614
MoNi,-0.1505,-0.2879,0.284,-0.3617,-0.5784,0.7125,-1.4797,0.9939,0.5007,-0.1747,-0.6461,0.5247,-0.9788,0.7614
MoPd,-0.8555,-0.242,0.1507,-0.9271,-0.4777,0.7125,-1.4797,0.9939,0.5599,-0.2893,0.4522,0.0158,0.051,0.7614
MoTc,0.9072,-0.655,-0.6511,-0.8447,-1.3839,1.3491,-1.4797,0.9939,-0.7642,-0.5613,0.1987,1.2881,-0.081,0.7614
MoW,0.9072,-0.7468,-0.2075,-0.994,-1.5853,0.7125,-1.4797,0.9939,0.0871,-0.7689,0.1142,1.5426,0.2622,1.8033
MoY,0.9072,-2.5366,0.1894,1.5878,-1.686,0.7125,-1.4797,0.9939,0.988,-0.3251,0.4522,2.306,0.2622,0.7614
MoZn,-0.8555,0.0793,1.6631,-1.0035,0.2271,0.7125,-1.4797,0.9939,1.3337,1.0278,0.4522,0.0158,0.1566,0.7614
MoAs,-0.8555,0.7676,1.1338,-0.1113,1.7375,0.7125,-1.4797,0.9939,-0.0562,-0.0316,-1.5753,0.0158,0.2622,0.7614
MoGe,-0.8555,0.5382,0.9721,0.0297,1.234,0.7125,-1.4797,0.9939,-1.0563,-0.7259,-1.6598,0.0158,0.2622,0.7614
MoOs,0.5546,-0.4714,-0.7256,-0.8196,-0.9812,1.9858,-1.4797,1.2574,0.5303,-0.7689,0.1142,1.0337,-0.1867,2.1926
MoP,-0.8555,0.7217,2.1631,0.8655,1.6368,0.7125,-1.4797,0.9939,0.4159,7.957,-2.6736,0.0158,0.2622,0.7614
MoPb,-0.8555,0.63,1.7857,1.1857,1.4354,0.7125,-1.4797,0.9939,1.5173,0.9276,0.4522,0.0158,0.2622,0.7614
MoPt,-0.503,-0.1961,-0.1334,-1.0268,-0.377,0.7125,-1.4797,0.9939,0.1251,-0.504,0.4522,0.2703,0.1566,0.7614
MoRu,0.2021,-0.5173,-0.8868,-0.757,-1.0819,1.9858,-1.4797,0.9939,-1.0106,-0.6758,0.0298,0.7792,-0.1339,0.8394
MoSb,-0.8555,0.8135,1.3819,1.1631,1.8382,0.7125,-1.4797,0.9939,0.3159,-0.3465,0.4522,0.0158,0.2622,0.7614
MoSc,0.9072,-2.5825,0.1695,0.3832,-1.686,0.7125,-1.4797,0.9939,0.7711,-0.4181,0.4522,2.306,0.2622,0.7614
MoSi,-0.8555,0.4923,0.3386,-0.3683,1.1333,0.7125,-1.4797,0.9939,-0.081,-0.6329,-1.9977,0.0158,0.2622,1.6558
MoSn,-0.8555,0.5841,1.9129,0.6778,1.3347,0.7125,-1.4797,0.9939,1.3272,0.4409,0.4522,0.0158,0.2622,0.7614
MoTi,0.9072,-1.1139,0.0003,-0.7265,-1.686,0.7125,-1.4797,0.9939,0.7671,-0.5183,0.4522,2.0515,0.2622,0.7614
MoTl,-0.8555,0.4005,1.8172,0.9297,0.932,0.7125,-1.4797,0.9939,1.5678,1.0064,0.4522,0.0158,0.2622,0.7614
MoZr,0.9072,-1.068,-0.2488,0.1208,-1.686,0.7125,-1.4797,0.9946,0.2191,-0.7259,0.4522,2.0515,0.2622,0.7614
NiNi,-0.1505,0.2169,-1.2718,-1.0479,-0.5784,-1.1975,0.1228,-0.5142,-1.0995,-0.7904,-0.6461,-0.2387,-0.9788,-0.6438
NiAg,-0.8555,0.4005,-0.615,-0.1247,-0.1756,-1.1975,0.1228,-0.5142,-0.605,-0.3967,-0.6461,-0.7476,-0.9788,-0.6438
NiAl,-0.8555,0.7676,-0.2134,-0.1971,0.6299,-1.1975,0.1228,-0.5142,-0.5578,-0.096,-0.6461,-0.7476,-0.9788,-0.6438
NiAu,-0.8555,0.4464,-0.7514,-0.144,-0.075,-1.1975,0.1228,-0.5142,-0.705,-0.7331,-0.6461,-0.7476,-0.9788,-0.6438
NiBi,-0.8555,1.3642,0.3048,2.6458,1.9389,0.0758,0.1228,-0.5142,-0.5895,-0.7904,-0.6461,-0.7476,-0.9788,-0.6438
NiCd,-0.8555,0.63,0.2384,0.5533,0.3278,-1.1975,0.1228,-0.5142,-0.1978,0.4552,-0.6461,-0.7476,-0.9788,-0.6438
NiCr,-0.1505,-0.3338,-0.6697,-0.8746,-0.5784,0.7125,0.1228,-0.5142,-0.8178,-0.1819,-0.6461,0.5247,-0.9788,-0.3965
NiCu,-0.8555,0.3546,-0.7786,-0.9141,-0.2763,-1.1975,0.1228,-0.5142,-0.789,-0.5684,-0.6461,-0.7476,-0.9788,-0.6438
NiFe,-0.1505,-0.0584,-1.1612,-0.9221,-0.5784,0.7125,0.1228,-0.5142,-0.8058,-0.6758,-0.7305,0.2703,-0.9788,-0.6438
NiGa,-0.8555,0.8135,0.6265,0.2569,0.7306,-1.1975,0.1228,-0.5142,-0.1478,-0.3394,-0.6461,-0.7476,-0.9788,-0.6438
NiGe,-0.8555,1.043,-0.5837,0.716,1.234,-0.5608,0.1228,-0.5142,0.4575,-0.2392,-1.6598,-0.7476,-0.9788,0.7235
NiHf,-0.1505,-0.5173,-0.2355,0.6569,-0.5784,-0.5608,0.1228,1.4945,-0.3218,-0.2535,-0.6461,1.2881,-0.9788,0.0391
NiHg,-0.8555,0.6758,0.7178,1.0096,0.4285,-1.1975,0.1228,-0.5142,0.1155,1.758,-0.6461,-0.7476,-0.9788,-0.6438
NiIn,-0.8555,0.8594,0.4575,1.2309,0.8313,-1.1975,0.1228,-0.5142,0.0358,0.5482,-0.6461,-0.7476,-0.9788,-0.6438
NiIr,-0.1505,0.171,0.0749,-0.5652,-0.5784,-1.1975,0.1228,0.8039,0.7919,-0.2893,-0.6461,0.0158,-0.9788,1.0172
NiMg,-0.8555,0.5382,-0.1995,0.8004,0.1264,-1.1975,0.1228,-0.5142,-0.3794,0.0257,-0.6461,-0.7476,-0.9788,-0.6438
NiMn,-0.1505,-0.1961,-0.9934,-0.8565,-0.5784,1.3491,0.1228,-0.5142,-0.7338,-0.1962,-0.6461,0.5247,-0.9788,-0.6438
NiMo,-0.1505,-0.2879,0.284,-0.3617,-0.5784,0.7125,0.1228,0.9939,0.5007,-0.1747,-0.6461,0.5247,-0.9788,0.7614
NiNb,-0.1505,-0.4256,0.0895,0.0148,-0.5784,0.0758,0.1228,1.7002,-0.0978,-0.3537,-0.6461,0.7792,-0.9788,0.2359
NiOs,-0.1505,0.0334,0.8301,-0.59,-0.5784,1.9858,0.1228,1.2574,2.1305,-0.1962,-0.6461,0.2703,-0.9788,2.1926
NiPb,-0.8555,1.1348,0.2299,1.8719,1.4354,-0.5608,0.1228,-0.5142,-0.0829,0.312,-0.6461,-0.7476,-0.9788,-0.6438
NiPd,-0.8555,0.2628,-1.1385,-0.4824,-0.4777,-0.5608,0.1228,-0.4023,-1.0402,-0.6758,-0.6461,-0.7476,-0.9788,-0.6438
NiPt,-0.503,0.3087,-0.8543,-0.3828,-0.377,-0.5608,0.1228,0.4276,-0.7238,-0.4611,-0.6461,-0.4932,-0.9788,-0.3139
NiRe,-0.1505,-0.1043,1.0339,-0.4806,-0.5784,1.3491,0.1228,1.8206,0.2287,-0.275,-0.6461,0.5247,-0.9788,0.5225
NiRh,-0.1505,0.1251,-0.5938,-0.6289,-0.5784,0.7125,0.1228,0.3209,-0.3706,-0.4181,-0.6461,-0.2387,-0.9788,-0.0037
NiRu,-0.1505,-0.0125,-0.1009,-0.6526,-0.5784,1.9858,0.1228,0.8336,0.5895,-0.2893,-0.6461,0.0158,-0.9788,0.8394
NiS,-0.8555,1.456,0.5126,1.3941,2.1402,0.7125,0.1228,-0.5142,0.1614,3.2612,-2.5891,-0.7476,-0.9788,-0.6438
NiSb,-0.8555,1.3183,-0.1739,1.8493,1.8382,0.0758,0.1228,-0.5142,-0.9146,-0.6186,-0.6461,-0.7476,-0.9788,-0.4815
NiSc,-0.1505,-2.0777,-1.1572,1.0694,-0.5784,-1.1975,0.1228,-0.5142,-0.829,-0.547,-0.6461,1.5426,-0.9788,-0.6438
NiSi,-0.8555,0.9971,-1.2172,0.3179,1.1333,-0.5608,0.1228,-0.5142,1.5192,-0.0173,-1.9977,-0.7476,-0.9788,1.6558
NiSn,-0.8555,1.0889,0.3572,1.364,1.3347,-0.5608,0.1228,-0.5142,-0.273,-0.1747,-0.6461,-0.7476,-0.9788,-0.6438
NiTc,-0.1505,-0.1502,-0.3367,-0.5648,-0.5784,1.3491,0.1228,0.3677,0.1655,-0.4038,-0.6461,0.5247,-0.9788,0.467
NiTi,-0.1505,-0.6091,-0.988,-0.0403,-0.5784,-0.5608,0.1228,-0.1763,-0.833,-0.4468,-0.6461,1.2881,-0.9788,-0.6438
NiTl,-0.8555,0.9053,0.2614,1.616,0.932,-1.1975,0.1228,-0.5142,-0.0323,0.3908,-0.6461,-0.7476,-0.9788,-0.6438
NiV,-0.1505,-0.4714,-0.6657,-0.6109,-0.5784,0.0758,0.1228,-0.024,-0.7778,-0.4324,-0.6461,1.0337,-0.9788,-0.3613
NiW,-0.1505,-0.242,1.3483,-0.3078,-0.5784,0.7125,0.1228,-0.1949,1.6872,-0.1533,-0.6461,0.7792,-0.9788,1.8033
NiZn,-0.8555,0.5841,0.1073,-0.4061,0.2271,-1.1975,0.1228,-0.5142,-0.2664,0.4122,-0.6461,-0.7476,-0.9788,-0.6438
NiZr,-0.1505,-0.5632,-0.739,0.807,-0.5784,-0.5608,0.1228,0.9946,-0.8178,-0.2392,-0.6461,1.2881,-0.9788,-0.3965
PbPb,-0.8555,2.0526,-1.2718,-1.0479,1.4354,-0.5608,0.673,-1.9281,-1.0995,-0.7904,3.4089,-1.2566,4.1701,-1.5365
PbAg,-0.8555,1.3183,-0.4268,0.9486,1.4354,-0.5608,0.673,-1.4129,-0.5773,-0.0817,0.8746,-1.2566,0.6583,-1.078
PbCd,-0.8555,1.5478,-1.2633,0.2707,1.4354,-0.5608,0.673,-1.9281,-0.9846,-0.6472,1.9728,-1.2566,1.8465,-1.4356
PbMo,0.9072,0.63,1.7857,1.1857,1.4354,0.7125,0.673,0.9939,1.5173,0.9276,0.4522,0.0158,0.2622,0.7614
PbNb,1.2597,0.4923,1.5912,0.8092,1.4354,0.0758,0.673,1.7002,0.9188,0.7487,0.7901,0.2703,0.9487,0.2359
PbPd,-0.8555,1.1807,0.3632,1.3064,1.4354,-0.5608,0.673,-0.4023,-0.1421,0.4265,0.7056,-1.2566,0.051,-0.6958
PbZr,1.9648,0.3546,0.7627,0.017,1.4354,-0.5608,0.673,0.9946,0.1988,0.8632,2.0573,0.7792,2.2954,-0.3965
PdPd,-0.8555,0.3087,-1.2718,-1.0479,-0.4777,-0.5608,0.226,-0.4023,-1.0995,-0.7904,0.7056,-1.2566,0.051,-0.6958
PdAg,-0.8555,0.4464,-0.4817,-0.6901,-0.1756,-0.5608,0.226,-0.4023,-0.6642,-0.2821,0.7056,-1.2566,0.051,-0.6958
PdAu,-0.8555,0.4923,-0.6181,-0.7095,-0.075,-0.5608,0.226,-0.4023,-0.7642,-0.6186,0.7056,-1.2566,0.051,-0.6958
PdCd,-0.8555,0.6758,0.3717,-0.0122,0.3278,-0.5608,0.226,-0.4023,-0.257,0.5697,0.7056,-1.2566,0.051,-0.6958
PdCo,0.2021,0.1251,-1.1918,-0.4907,-0.4777,-0.5608,0.226,-0.4023,-1.0563,-0.7045,-0.7305,-0.4932,-0.8996,-0.6958
PdCr,0.9072,-0.2879,-0.803,-0.6558,-0.4777,0.7125,0.226,-0.4023,-0.7586,-0.2964,-0.3082,0.0158,-0.6619,-0.3965
PdCu,-0.8555,0.4005,-0.6454,-0.6162,-0.2763,-0.5608,0.226,-0.4023,-0.8482,-0.4539,-0.6461,-1.2566,-0.7148,-0.6958
PdFe,0.5546,-0.0125,-1.2491,-0.6083,-0.4777,0.7125,0.226,-0.4023,-0.865,-0.7904,-0.7305,-0.2387,-0.7412,-0.6958
PdHf,1.9648,-0.4714,-0.3687,0.0915,-0.4777,-0.5608,0.226,1.4945,-0.2626,-0.368,0.7056,0.7792,0.051,0.0391
PdHg,-0.8555,0.7217,0.8511,0.4441,0.4285,-0.5608,0.226,-0.4023,0.0563,1.8725,0.7056,-1.2566,0.051,-0.6958
PdLa,2.3173,-1.94,-0.4259,2.3884,-0.4777,-0.5608,0.226,-0.3579,-0.2562,-0.3179,0.7056,1.0337,0.051,-0.6958
PdMn,0.9072,-0.1502,-0.8601,-0.6738,-0.4777,1.3491,0.226,-0.4023,-0.793,-0.0817,-0.1392,0.0158,-0.6091,-0.6958
PdMo,0.9072,-0.242,0.1507,-0.9271,-0.4777,0.7125,0.226,0.9939,0.5599,-0.2893,0.4522,0.0158,0.051,0.7614
PdNb,1.2597,-0.3797,-0.0437,-0.5507,-0.4777,0.0758,0.226,1.7002,-0.0386,-0.4682,0.7056,0.2703,0.051,0.2359
PdNi,-0.1505,0.2628,-1.1385,-0.4824,-0.4777,-0.5608,0.226,-0.4023,-1.0402,-0.6758,-0.6461,-0.7476,-0.9788,-0.6438
PdOs,0.5546,0.0793,0.6969,-0.9403,-0.4777,1.9858,0.226,1.2574,2.1897,-0.3108,0.1142,-0.2387,-0.1867,2.1926
PdPt,-0.503,0.3546,-0.9876,-0.9482,-0.377,-0.5608,0.226,0.4276,-0.6646,-0.5756,0.4522,-1.0021,0.051,-0.3139
PdRe,0.9072,-0.0584,0.9007,-1.0461,-0.4777,1.3491,0.226,1.8206,0.2879,-0.3895,0.2832,0.0158,0.051,0.5225
PdRh,-0.1505,0.171,-0.727,-0.9015,-0.4777,0.7125,0.226,0.3209,-0.3114,-0.5327,-0.1392,-0.7476,-0.794,-0.0037
PdRu,0.2021,0.0334,-0.2342,-0.8777,-0.4777,1.9858,0.226,0.8336,0.6487,-0.4038,0.0298,-0.4932,-0.1339,0.8394
PdSc,2.3173,-2.0318,-1.253,0.5039,-0.4777,-0.5608,0.226,-0.4023,-0.8882,-0.6615,0.7056,1.0337,0.051,-0.6958
PdTa,1.6122,-0.3338,0.6756,-0.544,-0.4777,0.0758,0.226,2.0324,0.4871,-0.3967,0.7056,0.5247,0.051,0.6975
PdTc,0.9072,-0.1043,-0.47,-0.9655,-0.4777,1.3491,0.226,0.3677,0.2247,-0.5183,0.1987,0.0158,-0.081,0.467
PdTi,1.9648,-0.5632,-1.1213,-0.6057,-0.4777,-0.5608,0.226,-0.1763,-0.8922,-0.5613,0.7056,0.7792,0.051,-0.6958
PdV,1.6122,-0.4256,-0.799,-0.9194,-0.4777,0.0758,0.226,-0.024,-0.7186,-0.547,0.0298,0.5247,-0.1867,-0.3613
PdW,1.2597,-0.1961,1.215,-0.8733,-0.4777,0.7125,0.226,-0.1949,1.7464,-0.2678,0.1142,0.2703,0.051,1.8033
PdY,2.3173,-1.9859,-1.2331,1.7085,-0.4777,-0.5608,0.226,-0.4023,-0.6714,-0.7546,0.7056,1.0337,0.051,-0.6958
PdZn,-0.8555,0.63,0.2406,-0.9715,0.2271,-0.5608,0.226,-0.4023,-0.3256,0.5268,0.5366,-1.2566,0.051,-0.6958
PdZr,1.9648,-0.5173,-0.8722,0.2416,-0.4777,-0.5608,0.226,0.9946,-0.7586,-0.3537,0.7056,0.7792,0.051,-0.3965
PtPt,-0.503,0.4005,-1.2718,-1.0479,-0.377,-0.5608,-0.0212,0.4276,-1.0995,-0.7904,0.4522,-0.7476,0.1566,-0.3139
PtAg,-0.8555,0.4923,-0.1975,-0.7898,-0.1756,-0.5608,-0.0212,0.4276,-0.2294,-0.0674,0.4522,-1.0021,0.1566,-0.3139
PtAu,-0.8555,0.5382,-0.3339,-0.8091,-0.075,-0.5608,-0.0212,0.4276,-0.3294,-0.4038,0.4522,-1.0021,0.1566,-0.3139
PtCd,-0.8555,0.7217,0.6559,-0.1118,0.3278,-0.5608,-0.0212,0.4276,0.1779,0.7845,0.4522,-1.0021,0.1566,-0.3139
PtCo,-0.503,0.171,-0.9076,-0.391,-0.377,-0.5608,-0.0212,0.4276,-0.6214,-0.4897,-0.7305,-0.2387,-0.8996,-0.3139
PtCr,-0.503,-0.242,-1.0871,-0.5561,-0.377,0.7125,-0.0212,0.4276,-1.0054,-0.5112,-0.3082,0.2703,-0.6619,-0.3139
PtCu,-0.8555,0.4464,-0.3612,-0.5165,-0.2763,-0.5608,-0.0212,0.4276,-0.4134,-0.2392,-0.6461,-1.0021,-0.7148,-0.3139
PtFe,-0.503,0.0334,-0.9649,-0.5086,-0.377,0.7125,-0.0212,0.4276,-0.4302,-0.5756,-0.7305,0.0158,-0.7412,-0.3139
PtHf,-0.503,-0.4256,-0.6529,-0.0082,-0.377,-0.5608,-0.0212,1.4945,-0.6974,-0.5828,0.4522,1.0337,0.1566,0.0391
PtHg,-0.8555,0.7676,1.1353,0.3445,0.4285,-0.5608,-0.0212,0.4276,0.4911,2.0873,0.4522,-1.0021,0.1566,-0.3139
